ISO_N3_EH,SOVEREIGNT,num,totalanimaldens_15,totalanimaldens_20,totalanimalvol_20,totalcalories_20,totalfats_20,totalprt_20,animal
242,Fiji,1,245244.90699577332,19394.00000000001,159.03079999999994,195607883.99999994,11132155.999999996,22264311.999999993,goatmeat
834,United Republic of Tanzania,2,17113731.06318494,3395261.0000000126,67226.16779999972,82688186393.99965,4705831745.99998,9411663491.99996,goatmeat
732,Western Sahara,3,0,0,0,0,0,0,goatmeat
124,Canada,4,0,0,0,0,0,0,goatmeat
840,United States of America,5,2649618.6388005605,624399.9999999949,9178.680000000077,11289776400.000093,642507600.0000054,1285015200.0000107,goatmeat
398,Kazakhstan,6,2336008.0708511174,1079178.999999999,19533.13990000001,24025762077.00001,1367319793.0000007,2734639586.0000014,goatmeat
860,Uzbekistan,7,3365715.8501702547,0,0,0,0,0,goatmeat
598,Papua New Guinea,8,2916.7275829538703,649.0000000000008,9.735,11974050,681450,1362900,goatmeat
360,Indonesia,9,17923441.598084003,6931854.000000002,61693.500599999905,75883005737.99988,4318545041.999993,8637090083.999987,goatmeat
032,Argentina,10,4718210.565478685,1114484.999999999,7355.601000000004,9047389230.000006,514892070.0000003,1029784140.0000006,goatmeat
152,Chile,11,433083.2383882543,301955.0000000008,5435.190000000046,6685283700.000057,380463300.0000032,760926600.0000064,goatmeat
180,Democratic Republic of the Congo,12,4121418.9489393174,1606350.9999999919,18633.671599999885,22919416067.99986,1304357011.999992,2608714023.999984,goatmeat
706,Somalia,13,9030755.714213371,2910501.0000000014,37836.51300000016,46538910990.0002,2648555910.0000114,5297111820.000023,goatmeat
404,Kenya,14,24903893.648772955,6728236.000000001,80738.83200000026,99308763360.00032,5651718240.000018,11303436480.000036,goatmeat
729,Sudan,15,31004139.825147167,13545765.000000002,120557.30850000028,148285489455.00037,8439011595.00002,16878023190.00004,goatmeat
148,Chad,16,29539878.677288115,10988443.999999994,131861.32799999986,162189433439.99982,9230292959.99999,18460585919.99998,goatmeat
332,Haiti,17,2017879.9277954102,313909.00000000006,4771.4168,5868842664,333999176,667998352,goatmeat
214,Dominican Republic,18,221352.44830012321,76256.00000000003,899.8207999999992,1106779583.999999,62987455.99999995,125974911.9999999,goatmeat
643,Russia,19,2153871.3624956664,1062969.000000003,18601.957499999986,22880407724.99998,1302137024.999999,2604274049.999998,goatmeat
044,The Bahamas,20,11440.454406738281,6215.999999999996,72.72719999999998,89454455.99999997,5090903.999999998,10181807.999999996,goatmeat
238,United Kingdom,21,0,0,0,0,0,0,goatmeat
578,Norway,22,59314.09211744671,27777.000000000033,349.9901999999998,430487945.9999997,24499313.999999985,48998627.99999997,goatmeat
304,Denmark,23,0,0,0,0,0,0,goatmeat
260,France,24,0,0,0,0,0,0,goatmeat
626,East Timor,25,135263.09550476074,54440.00000000002,544.3999999999999,669611999.9999999,38107999.99999999,76215999.99999999,goatmeat
710,South Africa,26,5912075.8720398545,865631.9999999992,11686.031999999992,14373819359.99999,818022239.9999995,1636044479.999999,goatmeat
426,Lesotho,27,728793.9750823975,32552.000000000025,266.92640000000017,328319472.00000024,18684848.000000015,37369696.00000003,goatmeat
484,Mexico,28,8705560.486389015,2219557.9999999963,39952.044000000154,49141014120.00019,2796643080.000011,5593286160.000022,goatmeat
858,Uruguay,29,0,0,0,0,0,0,goatmeat
076,Brazil,30,9613961.627556304,3358549.000000006,38623.313500000106,47506675605.00013,2703631945.0000076,5407263890.000015,goatmeat
068,Bolivia,31,2155895.363406431,338487.00000000023,6905.134799999992,8493315803.999989,483359435.9999994,966718871.9999988,goatmeat
604,Peru,32,1874660.8752870325,392866.00000000175,4950.111600000009,6088637268.000011,346507812.0000006,693015624.0000012,goatmeat
170,Colombia,33,1076493.2028344097,24723.999999999814,422.7803999999975,520019891.9999969,29594627.999999825,59189255.99999965,goatmeat
591,Panama,34,0,0,0,0,0,0,goatmeat
188,Costa Rica,35,5378.748872105032,19999.99999999999,240.00000000000003,295200000.00000006,16800000.000000004,33600000.00000001,goatmeat
558,Nicaragua,36,7543.685717315413,2286.0000000000023,36.57599999999993,44988479.99999991,2560319.9999999953,5120639.999999991,goatmeat
340,Honduras,37,25086.55298692733,10229,153.43499999999995,188725049.99999994,10740449.999999996,21480899.999999993,goatmeat
222,El Salvador,38,14941.793082237244,5592,80.52480000000004,99045504.00000006,5636736.000000004,11273472.000000007,goatmeat
320,Guatemala,39,113237.03286424279,14626.000000000004,200.37619999999987,246462725.99999982,14026333.99999999,28052667.99999998,goatmeat
084,Belize,40,182.41437176521868,76.99999999999997,0.924,1136520,64680,129360,goatmeat
862,Venezuela,41,1361769.8760376256,512877.00000000105,6513.537900000002,8011651617.000003,455947653.0000002,911895306.0000004,goatmeat
328,Guyana,42,78342.19938272238,27237.000000000004,272.36999999999966,335015099.9999996,19065899.999999978,38131799.999999955,goatmeat
740,Suriname,43,4217.958820765838,411.0000000000004,6.000599999999999,7380737.999999998,420041.9999999999,840083.9999999998,goatmeat
250,France,44,1255682.939069732,668539.9999999995,6150.5679999999875,7565198639.999985,430539759.9999991,861079519.9999982,goatmeat
218,Ecuador,45,31101.774175574727,4797.999999999997,167.92999999999995,206553899.99999994,11755099.999999996,23510199.999999993,goatmeat
630,United States of America,46,2673.669852375984,452.9999999999999,3.8958,4791834,272706,545412,goatmeat
388,Jamaica,47,514184.9874267578,37969.00000000001,527.7691,649155993,36943837,73887674,goatmeat
192,Cuba,48,1023877.374167785,379999.9999999999,8892.000000000007,10937160000.00001,622440000.0000005,1244880000.000001,goatmeat
716,Zimbabwe,49,3921253.5574686527,2077308.9999999974,24927.707999999995,30661080839.999992,1744939559.9999995,3489879119.999999,goatmeat
072,Botswana,50,1190263.734232068,352040.9999999999,4189.28790000001,5152824117.000012,293250153.0000007,586500306.0000014,goatmeat
516,Namibia,51,1921318.1793648452,259039.00000000032,3134.371899999995,3855277436.9999943,219406032.99999967,438812065.99999934,goatmeat
686,Senegal,52,5377959.542387247,2190213.999999999,18178.77619999998,22359894725.999973,1272514333.9999986,2545028667.999997,goatmeat
466,Mali,53,19887912.42293462,1141522.9999999988,13127.51449999998,16146842834.999975,918926014.9999986,1837852029.9999971,goatmeat
478,Mauritania,54,7484890.704014003,1245422.9999999995,19304.05649999998,23743989494.999973,1351283954.9999986,2702567909.999997,goatmeat
204,Benin,55,1789617.5138597488,881897.999999998,7760.702399999981,9545663951.999977,543249167.9999987,1086498335.9999974,goatmeat
562,Niger,56,16698469.607942611,1351082.000000001,32831.2926,40382489898,2298190482,4596380964,goatmeat
566,Nigeria,57,72176695.44029152,27449704.000000026,274497.03999999975,337631359199.9997,19214792799.999985,38429585599.99997,goatmeat
120,Cameroon,58,4888195.598127484,2310122.000000009,26104.378600000025,32108385678.000034,1827306502.000002,3654613004.000004,goatmeat
768,Togo,59,3225790.6233291626,956680.0000000005,4783.399999999991,5883581999.9999895,334837999.9999994,669675999.9999988,goatmeat
288,Ghana,60,6325597.091189861,1844081.0000000005,31902.601299999948,39240199598.99993,2233182090.999996,4466364181.999992,goatmeat
384,Ivory Coast,61,1470751.9241564274,897400.0000000006,8345.820000000012,10265358600.000015,584207400.0000008,1168414800.0000017,goatmeat
324,Guinea,62,2642767.271800995,850999.9999999993,14637.200000000013,18003756000.00002,1024604000.0000011,2049208000.0000021,goatmeat
624,Guinea-Bissau,63,759792.1877441406,120242.99999999994,1010.0411999999991,1242350675.9999988,70702883.99999994,141405767.99999988,goatmeat
430,Liberia,64,331239.9728536606,116191.00000000001,1045.7189999999991,1286234369.9999988,73200329.99999994,146400659.99999988,goatmeat
694,Sierra Leone,65,889188.2171196938,203781.99999999974,1671.0124000000003,2055345252.0000005,116970868.00000003,233941736.00000006,goatmeat
854,Burkina Faso,66,14335623.661209106,4000672.999999992,26804.509100000025,32969546193.00003,1876315637.0000017,3752631274.0000033,goatmeat
140,Central African Republic,67,5887325.940896943,1214319.9999999937,22950.648,28229297040,1606545360,3213090720,goatmeat
178,Republic of the Congo,68,328133.64728016406,100153.00000000026,1041.5912,1281157176,72911384,145822768,goatmeat
266,Gabon,69,111149.88547569513,33370.00000000005,347.0480000000004,426869040.00000054,24293360.00000003,48586720.00000006,goatmeat
226,Equatorial Guinea,70,12608.815172597766,4437.999999999999,48.81800000000003,60046140.000000045,3417260.0000000023,6834520.000000005,goatmeat
894,Zambia,71,2618300.813337356,1205401.9999999993,14946.984800000007,18384791304.00001,1046288936.0000006,2092577872.0000012,goatmeat
454,Malawi,72,6350152.997962475,6760372,57463.16199999995,70679689259.99994,4022421339.9999967,8044842679.999993,goatmeat
508,Mozambique,73,3754334.2745018564,177088.99999999974,2532.3727000000017,3114818421.0000024,177266089.00000012,354532178.00000024,goatmeat
748,eSwatini,74,248742.12701416016,91538.99999999993,1611.0863999999995,1981636271.9999993,112776047.99999996,225552095.9999999,goatmeat
024,Angola,75,4296945.598287232,1309323.9999999937,19639.85999999996,24157027799.999954,1374790199.9999974,2749580399.9999948,goatmeat
108,Burundi,76,2388230.6032390594,704969.9999999998,8953.119000000002,11012336370.000004,626718330.0000002,1253436660.0000005,goatmeat
376,Israel,77,165344.13287341595,346358,3394.3083999999994,4174999331.999999,237601587.99999994,475203175.9999999,goatmeat
422,Lebanon,78,495642.80673217773,164847.99999999997,3099.142400000001,3811945152.0000014,216939968.0000001,433879936.0000002,goatmeat
450,Madagascar,79,1520909.7616489027,182162.99999999997,3278.934,4033088820.0000005,229525380.00000003,459050760.00000006,goatmeat
275,Israel,80,198462.6567993164,229287,4929.6705,6063494715,345076935,690153870,goatmeat
270,Gambia,81,491190.31439208984,89875.00000000001,997.6125000000006,1227063375.0000007,69832875.00000004,139665750.0000001,goatmeat
788,Tunisia,82,1226245.319623828,733078.9999999995,10189.79810000001,12533451663.000013,713285867.0000007,1426571734.0000014,goatmeat
012,Algeria,83,5035715.203755751,1841546.000000002,18415.459999999955,22651015799.999947,1289082199.999997,2578164399.999994,goatmeat
400,Jordan,84,844606.110202074,290000.00000000023,4205.000000000001,5172150000.000001,294350000.00000006,588700000.0000001,goatmeat
784,United Arab Emirates,85,2132928.9176523685,3458014.000000003,61206.84780000001,75284422794.00002,4284479346.000001,8568958692.000002,goatmeat
634,Qatar,86,296155.7871570587,33250.00000000001,950.95,1169668500,66566500,133133000,goatmeat
414,Kuwait,87,142707.29754686356,42984.99999999999,1504.475,1850504250,105313250,210626500,goatmeat
368,Iraq,88,1240638.5460997298,518714.9999999993,9025.640999999983,11101538429.999979,631794869.9999988,1263589739.9999976,goatmeat
512,Oman,89,2173674.575922966,712684.0000000016,16463.0004,20249490492,1152410028,2304820056,goatmeat
548,Vanuatu,90,8080.42696762085,2233,22.33,27465899.999999996,1563099.9999999998,3126199.9999999995,goatmeat
116,Cambodia,91,0,0,0,0,0,0,goatmeat
764,Thailand,92,437777.6919630845,122405.00000000028,1836.0750000000035,2258372250.0000043,128525250.00000024,257050500.00000048,goatmeat
418,Laos,93,519628.71575630456,192401.99999999945,2693.6280000000047,3313162440.0000057,188553960.00000033,377107920.00000066,goatmeat
104,Myanmar,94,6240723.273728918,1650000,9899.999999999953,12176999999.99994,692999999.9999967,1385999999.9999933,goatmeat
704,Vietnam,95,1954780.0113104582,1420917.0000000005,21313.755000000023,26215918650.00003,1491962850.0000017,2983925700.0000033,goatmeat
408,North Korea,96,3650541.306498289,922867.000000001,13843.005000000005,17026896150.000008,969010350.0000005,1938020700.000001,goatmeat
410,South Korea,97,266025.86868071556,115137.99999999994,1565.876799999998,1926028463.9999974,109611375.99999985,219222751.9999997,goatmeat
496,Mongolia,98,23475647.559476882,9751273.99999998,128716.81679999953,158321684663.99942,9010177175.999966,18020354351.99993,goatmeat
356,India,99,142086693.80100417,55540575.00000056,555405.7499999986,683149072499.9983,38878402499.9999,77756804999.9998,goatmeat
050,Bangladesh,100,53313880.61289978,30719334.000000022,215035.3379999998,264493465739.99976,15052473659.999987,30104947319.999973,goatmeat
064,Bhutan,101,47119.1150628014,20000,296.00000000000006,364080000.00000006,20720000.000000004,41440000.00000001,goatmeat
524,Nepal,102,10321548.446437716,6496312.000000006,74707.58799999995,91890333239.99992,5229531159.999996,10459062319.999992,goatmeat
586,Pakistan,103,68720460.26450455,43051000.000000134,503696.70000000036,619546941000.0005,35258769000.00003,70517538000.00006,goatmeat
004,Afghanistan,104,7851374.569452286,3604238,46855.09399999991,57631765619.99989,3279856579.999994,6559713159.999988,goatmeat
762,Tajikistan,105,0,0,0,0,0,0,goatmeat
417,Kyrgyzstan,106,840110.2442303859,361431.0000000002,9397.205999999984,11558563379.999979,657804419.9999988,1315608839.9999976,goatmeat
795,Turkmenistan,107,2387262.9018181562,739340.0000000007,14121.394000000028,17369314620.000034,988497580.0000019,1976995160.0000038,goatmeat
364,Iran,108,15762300.91367507,2054674.9999999998,30614.657500000172,37656028725.00021,2143026025.0000122,4286052050.0000243,goatmeat
760,Syria,109,2274546.014836788,460094.00000000047,12054.462799999965,14826989243.999956,843812395.9999975,1687624791.999995,goatmeat
051,Armenia,110,51331.085767805576,2201.0000000000005,29.273299999999992,36006158.99999999,2049130.9999999995,4098261.999999999,goatmeat
752,Sweden,111,1716.608315787511,1000.0000000000002,10,12300000,700000,1400000,goatmeat
112,Belarus,112,0,0,0,0,0,0,goatmeat
804,Ukraine,113,585588.2021753192,325899.99999999854,5084.040000000007,6253369200.00001,355882800.00000054,711765600.0000011,goatmeat
616,Poland,114,80239.82913076878,0,0,0,0,0,goatmeat
040,Austria,115,71962.03805923462,53300.00000000002,660.9200000000008,812931600.000001,46264400.00000005,92528800.0000001,goatmeat
348,Hungary,116,67856.60662996769,7620.000000000005,80.00999999999993,98412299.99999991,5600699.999999995,11201399.99999999,goatmeat
498,Moldova,117,0,0,0,0,0,0,goatmeat
642,Romania,118,1409332.8800628185,544640.0000000001,4084.7999999999997,5024304000,285936000,571872000,goatmeat
440,Lithuania,119,12838.401263738051,5850.000000000005,70.19999999999996,86345999.99999996,4913999.999999997,9827999.999999994,goatmeat
428,Latvia,120,11967.741524044424,3540.0000000000005,49.91399999999994,61394219.99999992,3493979.9999999953,6987959.999999991,goatmeat
233,Estonia,121,4515.312503129244,1019.9999999999985,9.995999999999999,12295079.999999998,699719.9999999999,1399439.9999999998,goatmeat
276,Germany,122,124373.66010731459,23000.000000000033,0,0,0,0,goatmeat
100,Bulgaria,123,313927.8695356846,122140.00000000006,1196.9720000000004,1472275560.0000005,83788040.00000003,167576080.00000006,goatmeat
300,Greece,124,3533235.774154663,2273509.999999995,22280.398000000016,27404889540.00002,1559627860.000001,3119255720.000002,goatmeat
792,Turkey,125,10177045.116461791,4692009.9999999935,90555.79300000037,111383625390.00046,6338905510.000026,12677811020.000051,goatmeat
008,Albania,126,921625.1677446365,748413.9999999998,8157.712600000006,10033986498.000008,571039882.0000005,1142079764.000001,goatmeat
191,Croatia,127,64258.555248975754,52400.000000000065,602.6,741198000,42182000,84364000,goatmeat
756,Switzerland,128,77686.30034995079,40789.99999999999,497.6380000000003,612094740.0000004,34834660.00000002,69669320.00000004,goatmeat
442,Luxembourg,129,3511.524178504944,209.99999999999997,0,0,0,0,goatmeat
056,Belgium,130,46371.12516988814,16300.000000000004,319.47999999999996,392960399.99999994,22363599.999999996,44727199.99999999,goatmeat
528,Netherlands,131,451228.74772393703,200920,2611.959999999998,3212710799.9999976,182837199.99999988,365674399.99999976,goatmeat
620,Portugal,132,367953.55860328674,163750.0000000001,1097.1250000000002,1349463750.0000002,76798750.00000001,153597500.00000003,goatmeat
724,Spain,133,2747822.0412853025,1209480.000000001,10159.631999999989,12496347359.999985,711174239.9999992,1422348479.9999983,goatmeat
372,Ireland,134,9334.214721918106,0,0,0,0,0,goatmeat
540,France,135,2063.215873049572,195.99999999999986,1.9991999999999994,2459015.999999999,139943.99999999994,279887.9999999999,goatmeat
090,Solomon Islands,136,0,0,0,0,0,0,goatmeat
554,New Zealand,137,73891.61590417381,179321.99999999945,1990.474200000006,2448283266.000007,139333194.00000042,278666388.00000083,goatmeat
036,Australia,138,3579298.218339758,1158014.0000000058,17486.011400000025,21507794022.00003,1224020798.0000017,2448041596.0000033,goatmeat
144,Sri Lanka,139,276488.2818341255,56000.00000000002,1960.0000000000005,2410800000.0000005,137200000.00000003,274400000.00000006,goatmeat
156,China,140,141640310.88861263,151668025.99999943,2411521.613400002,2966171584482.0024,168806512938.00012,337613025876.00024,goatmeat
158,Taiwan,141,147394.15753172338,55248.999999999985,1585.6463000000017,1950344949.0000021,110995241.00000012,221990482.00000024,goatmeat
380,Italy,142,935448.5942781316,151510.00000000012,2060.535999999996,2534459279.9999948,144237519.9999997,288475039.9999994,goatmeat
208,Denmark,143,7.9583659172058105,0,0,0,0,0,goatmeat
826,United Kingdom,144,0,0,0,0,0,0,goatmeat
352,Iceland,145,0,0,0,0,0,0,goatmeat
031,Azerbaijan,146,0,0,0,0,0,0,goatmeat
268,Georgia,147,62261.93547603488,0,0,0,0,0,goatmeat
608,Philippines,148,3153933.0009456873,3158566.9999999907,31585.669999999973,38850374099.99996,2210996899.999998,4421993799.999996,goatmeat
458,Malaysia,149,428013.69118444994,54495.99999999993,1825.6160000000036,2245507680.000005,127793120.00000027,255586240.00000054,goatmeat
096,Brunei,150,8383.263112187386,2960.0000000000005,29.599999999999998,36408000,2072000,4144000,goatmeat
705,Slovenia,151,21306.347323417664,24419.999999999985,358.9740000000002,441538020.0000003,25128180.000000015,50256360.00000003,goatmeat
246,Finland,152,4661.4652332789265,1410.000000000002,20.022000000000027,24627060.000000034,1401540.0000000019,2803080.0000000037,goatmeat
703,Slovakia,153,33250.1914216876,27899.999999999996,329.22,404940600.00000006,23045400.000000004,46090800.00000001,goatmeat
203,Czechia,154,26963.521790206432,30629.999999999993,260.35500000000025,320236650.0000003,18224850.000000015,36449700.00000003,goatmeat
232,Eritrea,155,1812774.236413002,737134.9999999992,6265.647500000004,7706746425.000005,438595325.00000024,877190650.0000005,goatmeat
392,Japan,156,12731.98437487986,2562.999999999998,31.52490000000003,38775627.00000004,2206743.000000002,4413486.000000004,goatmeat
600,Paraguay,157,148201.057076931,84879.9999999999,806.3599999999998,991822799.9999998,56445199.999999985,112890399.99999997,goatmeat
887,Yemen,158,9266178.565768242,7733737.999999981,80430.87519999983,98929976495.9998,5630161263.999989,11260322527.999977,goatmeat
682,Saudi Arabia,159,3579780.0112612955,3173917.9999999953,46021.810999999965,56606827529.999954,3221526769.9999976,6443053539.999995,goatmeat
010,Antarctica,160,0,0,0,0,0,0,goatmeat
-99,Northern Cyprus,161,0,0,0,0,0,0,goatmeat
196,Cyprus,162,190939.81838989258,106870,2126.713,2615856990.0000005,148869910.00000003,297739820.00000006,goatmeat
504,Morocco,163,6280414.60243386,2313354,30998.943600000104,38128700628.00012,2169926052.000007,4339852104.000014,goatmeat
818,Egypt,164,3966522.674958229,647999.9999999974,16005.599999999977,19686887999.99997,1120391999.9999983,2240783999.9999967,goatmeat
434,Libya,165,2369619.2898031548,828771.0000000031,11271.285600000027,13863681288.000032,788989992.0000019,1577979984.0000038,goatmeat
231,Ethiopia,166,29893489.928280473,17317563.00000004,147199.2855000004,181055121165.0005,10303949985.000029,20607899970.000057,goatmeat
262,Djibouti,167,561921.7981872559,183724.99999999997,2296.5625,2824771875,160759375,321518750,goatmeat
-99,Somaliland,168,0,0,0,0,0,0,goatmeat
800,Uganda,169,14196878.080814838,3005413.9999999995,33059.55399999996,40663251419.99995,2314168779.999997,4628337559.999994,goatmeat
646,Rwanda,170,2504530.6098537445,386002.0000000001,13510.070000000009,16617386100.000011,945704900.0000006,1891409800.0000012,goatmeat
070,Bosnia and Herzegovina,171,71487.77860546112,0,0,0,0,0,goatmeat
807,North Macedonia,172,0,0,0,0,0,0,goatmeat
688,Republic of Serbia,173,176575.54122543335,222391.00000000012,2957.800299999997,3638094368.999996,207046020.9999998,414092041.9999996,goatmeat
499,Montenegro,174,30344.832460165024,7732.000000000004,98.19639999999997,120781571.99999996,6873747.999999997,13747495.999999994,goatmeat
