ISO_N3_EH,SOVEREIGNT,num,totalanimaldens_15,totalanimaldens_20,totalanimalvol_20,totalcalories_20,totalfats_20,totalprt_20,animal
242,Fiji,1,0,0,0,0,0,0,goatmilk
834,United Republic of Tanzania,2,17113731.06318494,4018748.9999999916,223040.56949999958,153897992954.9997,9144663349.49998,8029460501.999985,goatmilk
732,Western Sahara,3,0,0,0,0,0,0,goatmilk
124,Canada,4,0,0,0,0,0,0,goatmilk
840,United States of America,5,2649618.6388005605,262561.99999999616,26361.22479999985,18189245111.999897,1080810216.7999938,949004092.7999947,goatmilk
398,Kazakhstan,6,2336008.0708511174,32400.000000000116,1380.239999999998,952365599.9999986,56589839.99999991,49688639.999999925,goatmilk
860,Uzbekistan,7,0,0,0,0,0,0,goatmilk
598,Papua New Guinea,8,2916.7275829538703,1350.9999999999995,39.7193999999999,27406385.999999933,1628495.3999999957,1429898.3999999964,goatmilk
360,Indonesia,9,17923441.598084003,7317459.000000006,360750.72870000126,248918002803.00085,14790779876.70005,12987026233.200045,goatmilk
032,Argentina,10,0,0,0,0,0,0,goatmilk
152,Chile,11,433083.2383882543,231040.99999999945,7809.185800000013,5388338202.00001,320176617.80000055,281130688.8000005,goatmilk
180,Democratic Republic of the Congo,12,0,0,0,0,0,0,goatmilk
706,Somalia,13,9030755.714213371,6141902.99999999,369128.3703000012,254698575507.00082,15134263182.300047,13288621330.800043,goatmilk
404,Kenya,14,24903893.648772955,3898283.9999999944,271710.39479999966,187480172411.99976,11140126186.799986,9781574212.799988,goatmilk
729,Sudan,15,31004139.825147167,18209736.00000004,1165423.1040000056,804141941760.0039,47782347264.00023,41955231744.000206,goatmilk
148,Chad,16,29539878.677288115,1718270.000000005,112546.6849999998,77657212649.99985,4614414084.99999,4051680659.9999924,goatmilk
332,Haiti,17,2017879.9277954102,616158.9999999999,50216.958500000015,34649701365.000015,2058895298.5000005,1807810506.0000007,goatmilk
214,Dominican Republic,18,0,0,0,0,0,0,goatmilk
643,Russia,19,2153871.3624956664,765330.0000000013,254319.1589999987,175480219709.9991,10427085518.999947,9155489723.999954,goatmilk
044,The Bahamas,20,11440.454406738281,7147.000000000002,1372.9386999999992,947327702.9999995,56290486.699999966,49425793.19999997,goatmilk
238,United Kingdom,21,0,0,0,0,0,0,goatmilk
578,Norway,22,59314.09211744671,33694.99999999998,21443.49800000005,14796013620.000034,879183418.000002,771965928.0000018,goatmilk
304,Denmark,23,0,0,0,0,0,0,goatmilk
260,France,24,0,0,0,0,0,0,goatmilk
626,East Timor,25,135263.09550476074,44977,6103.3789000000015,4211331441.000001,250238534.90000004,219721640.40000007,goatmilk
710,South Africa,26,0,0,0,0,0,0,goatmilk
426,Lesotho,27,0,0,0,0,0,0,goatmilk
484,Mexico,28,8705560.486389015,766455.9999999999,168467.02879999892,116242249871.99925,6907148180.799955,6064813036.799961,goatmilk
858,Uruguay,29,0,0,0,0,0,0,goatmilk
076,Brazil,30,9613961.627556304,5674441.000000028,291666.2674000005,201249724506.00034,11958316963.400019,10499985626.400017,goatmilk
068,Bolivia,31,2155895.363406431,469999.99999999953,29657.00000000004,20463330000.00003,1215937000.0000017,1067652000.0000015,goatmilk
604,Peru,32,1874660.8752870325,254592.00000000052,20469.196799999943,14123745791.999962,839237068.7999976,736891084.7999979,goatmilk
170,Colombia,33,0,0,0,0,0,0,goatmilk
591,Panama,34,0,0,0,0,0,0,goatmilk
