ISO_N3_EH,SOVEREIGNT,num,totalanimaldens_15,totalanimaldens_20,totalanimalvol_20,totalcalories_20,totalfats_20,totalprt_20,animal
242,Fiji,1,129659.87716674805,91154.00000000003,4101.929999999999,13372291799.999998,1271598299.9999998,451212299.99999994,pigmeat
834,United Republic of Tanzania,2,485610.5669715621,376812.9999999993,38359.563400000065,125052176684.00021,11891464654.000021,4219551974.000007,pigmeat
732,Western Sahara,3,0,0,0,0,0,0,pigmeat
124,Canada,4,13074265.826613382,22721799.999999944,2299446.160000015,7496194481600.049,712828309600.0046,252939077600.00165,pigmeat
840,United States of America,5,68917804.54388288,131639000.00000203,12847966.39999996,41884370463999.87,3982869583999.9873,1413276303999.9954,pigmeat
398,Kazakhstan,6,966635.9063195043,1193106.0000000116,87454.66980000016,285102223548.00055,27110947638.000053,9620013678.00002,pigmeat
860,Uzbekistan,7,84703.24725663103,50234.99999999991,5123.969999999989,16704142199.999966,1588430699.9999967,563636699.9999988,pigmeat
598,Papua New Guinea,8,1945206.8854522705,1952691.999999999,80450.91040000008,262269967904.00027,24939782224.000027,8849600144.00001,pigmeat
360,Indonesia,9,6130747.936310514,4944080.000000014,280823.7440000006,915485405440.0018,87055360640.00018,30890611840.00006,pigmeat
032,Argentina,10,5012084.230516353,7006090.999999947,655069.508500003,2135526597710.01,203071547635.00095,72057645935.00034,pigmeat
152,Chile,11,2692651.3244548994,5449219.999999988,574347.788000003,1872373788880.0095,178047814280.00092,63178256680.00033,pigmeat
180,Democratic Republic of the Congo,12,1059536.1535094504,579800.0000000016,25569.179999999913,83355526799.99973,7926445799.999973,2812609799.9999905,pigmeat
706,Somalia,13,2806.5684351259843,2078.0000000000005,103.89999999999996,338713999.9999999,32208999.99999999,11428999.999999996,pigmeat
404,Kenya,14,491730.5379409571,396691.00000000116,25784.915000000026,84058822900.00009,7993323650.000009,2836340650.000003,pigmeat
729,Sudan,15,0,0,0,0,0,0,pigmeat
148,Chad,16,233636.9630439994,84732.99999999996,2533.5167000000033,8259264442.0000105,785390177.0000011,278686837.00000036,pigmeat
332,Haiti,17,970469.3445739746,536713.0000000002,32202.780000000024,104981062800.00008,9982861800.000008,3542305800.000003,pigmeat
214,Dominican Republic,18,510993.65154623985,1410000.0000000005,80793.00000000007,263385180000.00024,25045830000.000023,8887230000.000008,pigmeat
643,Russia,19,19549099.47612096,46363647.00000032,4279364.618100022,13950728655006.072,1326603031611.0068,470730107991.00244,pigmeat
044,The Bahamas,20,3958.9788093566895,6818.000000000001,340.90000000000003,1111334000.0000002,105679000.00000001,37499000.00000001,pigmeat
238,United Kingdom,21,0,0,0,0,0,0,pigmeat
