ISO_N3_EH,SOVEREIGNT,num,totalanimaldens_15,totalanimaldens_20,totalanimalvol_20,totalcalories_20,totalfats_20,totalprt_20,animal
242,Fiji,1,19724.482742905617,6149,126.05449999999999,370600230,26471445,31513625,sheepmeat
834,United Republic of Tanzania,2,6069294.0045963,1564790.0000000037,28792.1360000001,84648879840.0003,6046348560.000021,7198034000.000026,sheepmeat
732,Western Sahara,3,0,0,0,0,0,0,sheepmeat
124,Canada,4,792732.263833938,744499.9999999889,16602.350000000075,48810909000.00022,3486493500.0000157,4150587500.0000186,sheepmeat
840,United States of America,5,5273289.874540734,2318400.000000008,64915.200000000914,190850688000.0027,13632192000.000193,16228800000.000229,sheepmeat
398,Kazakhstan,6,15828141.797179937,7686135.0000000065,152954.08650000018,449685014310.00055,32120358165.00004,38238521625.000046,sheepmeat
860,Uzbekistan,7,15470298.750205517,8929755.00000001,148233.93299999993,435807763019.9998,31129125929.999985,37058483249.999985,sheepmeat
598,Papua New Guinea,8,7093.27241563797,2114.0000000000005,31.710000000000004,93227400.00000001,6659100.000000001,7927500.000000002,sheepmeat
360,Indonesia,9,16710011.800956117,5748464.999999993,54035.5710000001,158864578740.00027,11347469910.00002,13508892750.000023,sheepmeat
032,Argentina,10,14871240.207007006,2648556.0000000102,52706.26439999999,154956417335.99997,11068315523.999998,13176566099.999998,sheepmeat
152,Chile,11,2113936.1913550408,564403.0000000022,8974.007699999993,26383582637.999977,1884541616.9999983,2243501924.999998,sheepmeat
180,Democratic Republic of the Congo,12,928598.0714196375,283441.9999999994,2834.4199999999923,8333194799.999977,595228199.9999983,708604999.9999981,sheepmeat
706,Somalia,13,6863918.377971649,3382767.9999999925,42284.59999999994,124316723999.99983,8879765999.999987,10571149999.999985,sheepmeat
404,Kenya,14,16785958.186329424,5311954.999999999,79679.3250000003,234257215500.0009,16732658250.000063,19919831250.000076,sheepmeat
729,Sudan,15,40019335.90345216,15400000.000000024,266419.9999999996,783274799999.9988,55948199999.99991,66604999999.99989,sheepmeat
148,Chad,16,25549845.004247963,10608209.999999972,190947.77999999962,561386473199.9989,40099033799.99992,47736944999.99991,sheepmeat
332,Haiti,17,199954.91422748566,85155.00000000001,1694.584500000002,4982078430.000006,355862745.0000004,423646125.0000005,sheepmeat
214,Dominican Republic,18,242881.8807799816,74327.00000000001,891.9240000000008,2622256560.0000024,187304040.00000015,222981000.00000018,sheepmeat
643,Russia,19,22505215.489252295,11186860.99999994,195770.06749999835,575563998449.9951,41111714174.99966,48942516874.99959,sheepmeat
044,The Bahamas,20,5393.833885192871,2121.0000000000005,29.69400000000001,87300360.00000003,6235740.000000003,7423500.000000003,sheepmeat
238,United Kingdom,21,0,0,0,0,0,0,sheepmeat
578,Norway,22,2114620.7207763903,1212726.0000000028,24618.33779999996,72377913131.9999,5169850937.999991,6154584449.99999,sheepmeat
304,Denmark,23,0,0,0,0,0,0,sheepmeat
260,France,24,0,0,0,0,0,0,sheepmeat
626,East Timor,25,39754.07426601648,5432.000000000004,54.319999999999986,159700799.99999997,11407199.999999998,13579999.999999996,sheepmeat
